Tick 13110(13085), Delay 79 ms, IGT 10:53.899, RTA 1:17:30.350-1:17:30.429
Tick 13111(13086), Delay 23 ms, IGT 10:53.949, RTA 1:17:30.429-1:17:30.452
Tick 13113(13088), Delay 83 ms, IGT 10:54.003, RTA 1:17:30.502-1:17:30.585
Tick 13114(13089), Delay 25 ms, IGT 10:54.053, RTA 1:17:30.585-1:17:30.610
Tick 13116(13091), Delay 35 ms, IGT 10:54.153, RTA 1:17:30.663-1:17:30.698
Tick 13219(13193), Delay 82638 ms, IGT 10:59.253, RTA 1:17:35.798-1:18:58.436
Tick 13220(13193), Delay 436559 ms, IGT 10:59.253, RTA 1:18:58.436-1:26:14.995
Tick 13221(13194), Delay 90 ms, IGT 10:59.256, RTA 1:26:14.995-1:26:15.085
Tick 13222(13195), Delay 1 ms, IGT 10:59.306, RTA 1:26:15.085-1:26:15.086
Tick 13223(13196), Delay 20 ms, IGT 10:59.356, RTA 1:26:15.086-1:26:15.106
Tick 13265(13237), Delay 44 ms, IGT 11:01.406, RTA 1:26:17.155-1:26:17.199, due world load
Tick 13266(13237), Delay 20 ms, IGT 11:01.406, RTA 1:26:17.199-1:26:17.219, due world load
Tick 13267(13237), Delay 117 ms, IGT 11:01.391, RTA 1:26:17.219-1:26:17.336, due world load
Tick 13268(13237), Delay 0 ms, IGT 11:01.391, RTA 1:26:17.336-1:26:17.336, due world load
Tick 13269(13238), Delay 59 ms, IGT 11:01.438, RTA 1:26:17.336-1:26:17.395
Tick 13270(13239), Delay 30 ms, IGT 11:01.488, RTA 1:26:17.395-1:26:17.425
Tick 13300(13269), Delay 55 ms, IGT 11:02.988, RTA 1:26:18.873-1:26:18.928
Tick 13322(13291), Delay 84 ms, IGT 11:04.088, RTA 1:26:19.975-1:26:20.059
Tick 13323(13292), Delay 19 ms, IGT 11:04.138, RTA 1:26:20.059-1:26:20.078
Tick 13368(13337), Delay 8011 ms, IGT 11:06.388, RTA 1:26:22.273-1:26:30.284
Tick 13386(13354), Delay 495 ms, IGT 11:07.238, RTA 1:26:31.133-1:26:31.628
Tick 13387(13354), Delay 1566 ms, IGT 11:07.238, RTA 1:26:31.628-1:26:33.194
Tick 13388(13355), Delay 89 ms, IGT 11:07.256, RTA 1:26:33.194-1:26:33.283
Tick 13389(13356), Delay 12 ms, IGT 11:07.306, RTA 1:26:33.283-1:26:33.295
Tick 13431(13397), Delay 74 ms, IGT 11:09.356, RTA 1:26:35.345-1:26:35.419, due world load
Tick 13433(13397), Delay 155 ms, IGT 11:09.345, RTA 1:26:35.468-1:26:35.623, due world load
Tick 13434(13397), Delay 0 ms, IGT 11:09.345, RTA 1:26:35.623-1:26:35.623, due world load
Tick 13436(13399), Delay 56 ms, IGT 11:09.440, RTA 1:26:35.670-1:26:35.726
Tick 13437(13400), Delay 41 ms, IGT 11:09.490, RTA 1:26:35.726-1:26:35.767
Tick 13461(13424), Delay 45 ms, IGT 11:10.690, RTA 1:26:36.922-1:26:36.967
Tick 13535(13497), Delay 251 ms, IGT 11:14.340, RTA 1:26:40.617-1:26:40.868
Tick 13536(13497), Delay 7377 ms, IGT 11:14.340, RTA 1:26:40.868-1:26:48.245
Tick 13537(13498), Delay 86 ms, IGT 11:14.355, RTA 1:26:48.245-1:26:48.331
Tick 13538(13499), Delay 1 ms, IGT 11:14.405, RTA 1:26:48.331-1:26:48.332
Tick 13539(13500), Delay 38 ms, IGT 11:14.455, RTA 1:26:48.332-1:26:48.370
Tick 13544(13505), Delay 42 ms, IGT 11:14.705, RTA 1:26:48.579-1:26:48.621
Tick 13549(13510), Delay 45 ms, IGT 11:14.955, RTA 1:26:48.823-1:26:48.868
